storm_number,variable,PCA_1,PCA_2,PCA_3
1,total_totals_index_mean,-2.275014195258147,-3.9440878940040593,-1.2042559211196706
2,total_totals_index_mean,3.347547090392391,1.0542829137384744,0.5637872729451979
3,total_totals_index_mean,-1.0473493680547847,-3.2833549778865203,-1.4685637638133495
5,total_totals_index_mean,-3.131037462281626,-5.040872510832266,-2.060616205682286
6,total_totals_index_mean,-0.40930025557690314,-2.102703155318721,-3.009340839546737
7,total_totals_index_mean,-1.3903193078615106,1.218351342203763,-1.5948040621215813
8,total_totals_index_mean,1.7866808394148372,-1.928935829560986,1.9208157457191335
11,total_totals_index_mean,1.1081632098038683,0.6538121023821134,3.0237073488720965
12,total_totals_index_mean,3.8281108330740006,-1.1238719230326284,-0.19206969953144354
13,total_totals_index_mean,3.300319305864397,-2.524270386677433,-0.4715674870912548
16,total_totals_index_mean,4.3023423795441715,-0.09515741056523506,-0.059534172183130805
19,total_totals_index_mean,-10.5304180838559,1.1911959073641376,-2.080571925723372
21,total_totals_index_mean,3.7433821440048476,-1.1463056229071409,0.6390572538738665
26,total_totals_index_mean,-3.7682506558643687,-1.284029168576799,1.8248941818812456
27,total_totals_index_mean,-6.587663512990439,0.9459800161915588,0.11610770556883472
29,total_totals_index_mean,-2.443863018876219,-3.9911397969835103,5.175111107740938
31,total_totals_index_mean,6.711206712406893,1.2001936146683272,0.2125817797623419
32,total_totals_index_mean,-3.696824150087786,0.5371162295238283,2.14857412350127
33,total_totals_index_mean,-3.243344240027639,-0.9111225645111904,0.8404587482995488
34,total_totals_index_mean,-3.101917613943979,0.3331014126723793,-6.916862306969498
38,total_totals_index_mean,-2.5063507224308283,7.0924409187025,1.9480271745565854
39,total_totals_index_mean,-0.7722923621104991,0.2787667011348971,1.0431917588630972
43,total_totals_index_mean,11.275885559075446,-0.03603868550420399,1.5792932411709606
44,total_totals_index_mean,0.3200388508430957,3.6845027935333556,0.4965316142541918
45,total_totals_index_mean,6.3883564222462255,3.4849063612537523,1.434753321998444
46,total_totals_index_mean,0.8561910404372558,2.378583220585319,1.529302464814374
47,total_totals_index_mean,-2.194161131489456,-2.3049250663843615,1.0883884819561256
48,total_totals_index_mean,-1.3316628521507048,-3.22909337248848,-2.0614888189380114
49,total_totals_index_mean,-0.4955832609426961,3.832687511008378,-2.0556966359036832
50,total_totals_index_mean,-1.1726994446422425,4.087236393951976,1.5697978554620327
51,total_totals_index_mean,0.2975766256029791,5.270061993674228,-0.14758582931657552
53,total_totals_index_mean,0.5675465511360579,6.30603228863139,-0.5057977569853185
54,total_totals_index_mean,2.430835874175597,-4.612788551800566,-3.6971860692788594
56,total_totals_index_mean,8.941075259614378,-1.7707165913876435,-1.273938692695942
58,total_totals_index_mean,-6.87031657606309,-1.6780047536453426,0.27691257976050637
60,total_totals_index_mean,-3.1487469716022227,4.8593696971797735,-2.776228177831794
61,total_totals_index_mean,-5.479726953055581,-2.1871714787707957,-2.5304039204469375
62,total_totals_index_mean,-7.776187604638309,-1.08938086673827,-2.1983114739762413
63,total_totals_index_mean,2.2261099653535945,-0.674485390655526,-1.3309716268064467
64,total_totals_index_mean,4.44746500605616,0.1503669402985674,-0.6089252220450799
65,total_totals_index_mean,2.329270765661822,0.7036453693252268,-2.750803010581048
66,total_totals_index_mean,0.9357369978906945,-2.591104623518503,-3.7463505147929324
67,total_totals_index_mean,2.9614925745210123,-2.019756840048925,3.0621627002877827
68,total_totals_index_mean,-3.593826269157244,-2.9875061444686977,7.366140929496322
69,total_totals_index_mean,-5.146359805224671,-2.7971016960139843,6.7891675325666245
71,total_totals_index_mean,-2.3634325150262807,-4.897982802451201,-2.2845573666198105
72,total_totals_index_mean,10.419805111384344,-1.2475994471985778,-1.4962456010338478
73,total_totals_index_mean,-1.2181617810980543,2.707862740965262,0.07934534619935611
76,total_totals_index_mean,-2.8229682558266425,2.3801957112764796,-3.8064659242834353
77,total_totals_index_mean,-1.4904959517511296,7.114307405387185,1.8590357278163414
78,total_totals_index_mean,-2.4925973306032074,4.673635992461599,-3.8795233324539233
79,total_totals_index_mean,-4.253867806718985,-1.5942380223007155,3.177413659174456
80,total_totals_index_mean,-3.4475389373882774,1.356553927628327,3.5866366316566576
81,total_totals_index_mean,0.3922646016836736,0.3143157351093924,1.3522798265190599
82,total_totals_index_mean,-2.6668995782713556,-1.294624453437597,-0.24091405274842828
83,total_totals_index_mean,0.3257956467497969,-0.8916415954776162,-0.3248162063551775
85,total_totals_index_mean,1.2940162624922702,-2.2331813441754487,0.44452829011277395
86,total_totals_index_mean,1.66880659242437,0.34162647724960066,0.35374846091809864
87,total_totals_index_mean,-0.37495723990344587,-1.958372263151847,-0.804480990335192
89,total_totals_index_mean,4.957237675830002,-1.6562817999331547,-0.8376456635967924
90,total_totals_index_mean,2.1545687159039093,2.09089186191396,1.1622152658744378
93,total_totals_index_mean,9.137600108724156,-0.4562847659283845,0.9913880304622943
95,total_totals_index_mean,0.7887064924619657,1.3421082163205926,0.7611671087228059
